VALUES,ACTIONS,ARGUMENTS,AVERAGE LENGTH,DIALOGUE SUCCESS,CONSENSUS SUCCESS,DIALOGUE SCORE,CONSENSUS SCORE
8,8,20,4.564,0.58,0.15,1.232,0.45
8,8,22,4.599,0.621,0.162,1.335,0.486
8,8,24,4.821,0.607,0.189,1.311,0.567
8,8,26,5.085,0.626,0.183,1.36,0.549
8,8,28,5.123,0.61,0.211,1.356,0.633
8,8,30,5.638,0.599,0.214,1.351,0.642
8,8,32,5.787,0.618,0.215,1.418,0.645
8,8,34,5.814,0.625,0.222,1.435,0.666
8,8,36,6.113,0.604,0.242,1.366,0.726
8,8,38,6.322,0.609,0.223,1.363,0.669
8,8,40,6.892,0.597,0.215,1.333,0.645
8,8,42,6.789,0.607,0.238,1.405,0.714
8,8,44,6.9,0.628,0.239,1.402,0.717
8,8,46,7.044,0.653,0.241,1.507,0.723
8,8,48,7.148,0.642,0.259,1.478,0.777
8,8,50,7.332,0.641,0.243,1.481,0.729
8,8,52,7.657,0.648,0.239,1.482,0.717
8,8,54,7.543,0.673,0.275,1.547,0.825
8,8,56,7.993,0.651,0.288,1.549,0.864
8,8,58,8.181,0.654,0.264,1.548,0.792
8,8,60,7.6,0.695,0.298,1.677,0.894
8,8,62,8.67,0.677,0.296,1.631,0.888
8,8,64,8.251,0.685,0.272,1.595,0.816
8,8,66,8.683,0.697,0.307,1.647,0.921
8,8,68,9.058,0.682,0.292,1.598,0.876
8,8,70,8.718,0.717,0.342,1.727,1.026
8,8,72,8.989,0.691,0.317,1.675,0.951
8,8,74,9.31,0.707,0.328,1.687,0.984
8,8,76,9.001,0.72,0.349,1.73,1.047
8,8,78,9.657,0.7,0.321,1.696,0.963
8,8,80,9.949,0.71,0.34,1.734,1.02
8,8,82,9.698,0.711,0.349,1.735,1.047
8,8,84,10.313,0.7,0.323,1.682,0.969
8,8,86,10.397,0.703,0.329,1.667,0.987
8,8,88,10.513,0.714,0.368,1.754,1.104
8,8,90,10.264,0.71,0.348,1.716,1.044
8,8,92,10.994,0.696,0.345,1.716,1.035
8,8,94,11,0.716,0.358,1.726,1.074
8,8,96,10.825,0.719,0.36,1.731,1.08
8,8,98,10.686,0.729,0.376,1.789,1.128
8,8,100,11.652,0.695,0.354,1.663,1.062
8,8,102,11.653,0.703,0.351,1.709,1.053
8,8,104,11.11,0.725,0.37,1.783,1.11
